id,title,description,intent,status,category,family_id,conditions,implementation_guidance,assessment_method,risk_classification,reference_url,embedding_vector,metadata,created_at,updated_at,created_by,updated_by
67bb92c8-92e9-4455-b632-ddc80719f71f,Limitations on the Use or Disclosure of Cyber Incident Information,"Protects incident data that contractors submit. It states that any information a contractor reports to DoD about a cyber incident (per DFARS 7012) shall not be used or released by the Government for purposes other than cybersecurity or law enforcement related to that incident. In effect, it ensures that sensitive info the contractor shares (e.g. network diagrams, vulnerabilities, proprietary info) won't be disclosed publicly or used to the contractor's detriment. Authorized persons (DoD cyber personnel) can use the info only to improve security or address the incident. This clause must be flowed down to subcontractors as well.",Protect the confidentiality of cyber incident information and evidence shared with the DoD.,Active,Cybersecurity,6648b6cc-afab-4fec-b22a-11b6c2f2ecbb,Applies when a cyber incident is reported under DFARS 252.204-7012.,"When reporting an incident under DFARS 7012, mark the submission as containing ""Contractor Proprietary Information – submitted under DFARS 252.204-7009"" (DoD's DIBNet portal does much of this automatically). Contractors don't have to take action beyond normal incident reporting – this clause mainly binds the Government. Just be aware that the Government and any third parties it involves (e.g. DC3 or DIB CS program analysts) are required to protect your data. Flow this clause to subs so that they too have assurance their incident reports are protected and understand any incident info you share with them can't be misused.",Post-incident review by DoD or IG.,MEDIUM,https://www.acquisition.gov/dfars/252.204-7009-limitations-use-or-disclosure-third-party-contractor-reported-cyber-incident-information.,,"{""penalties"":""There is no direct penalty on the contractor in this clause (it's protective of the contractor's info). For the Government, unauthorized use or release of a contractor's incident information could violate the contract and federal law – potentially leading to administrative or legal consequences for the individuals responsible. (For the contractor's benefit: this protection encourages candid reporting. If a contractor were to misuse another contractor's incident data, that could lead to liability as well.)"",""reciprocity"":""Shared confidentiality obligations in incident handling."",""last_updated"":""2025-05-18""}",2025-05-27 04:28:45.824444+00,2025-05-27 04:28:45.824444+00,,
7024f40a-2fe1-41c7-9ff6-f8efc6009444,Transition Planning for Internet Protocol Version 6 (IPv6),"OMB M-05-22 mandates that all federal agencies transition their network backbones to support IPv6, ensuring future interoperability and scalability. The policy promotes the use of IPv6 across all new IT acquisitions.",Promote modernization of government networks and improve addressing capabilities.,Active,Networking,d3aa6404-21c4-4b06-8318-5d9a5769141c,Applies to all federal agency networks and contractors providing network infrastructure.,"Ensure new IT systems support IPv6. Update network configurations and validate capability to transmit, receive, and process IPv6 traffic. Submit transition plans to OMB as required.",Technical network assessments and agency compliance reporting.,MEDIUM,https://georgewbush-whitehouse.archives.gov/omb/memoranda/fy2005/m05-22.pdf,,"{""penalties"":""Failure to transition may impact system interoperability or funding approvals."",""reciprocity"":""Supports broader IT modernization and cybersecurity posture goals."",""last_updated"":""2025-05-18""}",2025-05-27 04:28:45.824444+00,2025-05-27 04:28:45.824444+00,,
7565a2b0-e617-4cfc-8bd6-061b7566b0ae,Protecting Controlled Unclassified Information in Nonfederal Systems,"NIST SP 800-171 outlines 110 security controls across 14 families specifically tailored for safeguarding Controlled Unclassified Information (CUI) in nonfederal systems, such as those owned by contractors. It derives its baseline from NIST SP 800-53, but is streamlined for non-governmental environments.",Ensure that contractors adequately safeguard CUI outside federal facilities.,Active,Cybersecurity,f64bdda3-cf84-4f58-87b7-d0869de5e750,"Applies to any contractor handling CUI under a federal contract, especially DoD contracts referencing DFARS 252.204-7012.","Review all 110 controls. Conduct a gap analysis. Create a System Security Plan (SSP) and a Plan of Actions and Milestones (POA&M). Implement all feasible controls, and document mitigations or timelines for any remaining gaps. Coordinate with DoD if required.","Self-assessment, or third-party assessment under CMMC or similar frameworks.",HIGH,https://csrc.nist.gov/pubs/sp/800/171/r3/final,,"{""penalties"":""Non-compliance can lead to contract termination, breach notifications, or False Claims Act exposure. Gaps must be addressed to maintain eligibility."",""reciprocity"":""Required for CMMC Level 2. Mapped to NIST 800-53 moderate controls."",""last_updated"":""2025-05-18""}",2025-05-27 04:28:45.824444+00,2025-05-27 04:28:45.824444+00,,
7c52738b-4c01-4bd2-82ba-529fdee5f88e,Compliance with Safeguarding Controls (Solicitation Provision),"A pre-contract assurance: by submitting an offer, the offeror represents that it either will implement NIST SP 800-171 prior to contract start, or has notified the DoD CIO of any proposed exceptions (""variances"") to 800-171. Essentially, this clause forces contractors at the bidding stage to affirm they meet (or will meet) the security requirements of DFARS 7012. If an offeror needs to deviate from any 800-171 control, they must explain why and get DoD CIO approval prior to award.",Ensure contractors are aware of and prepared to comply with cyber safeguarding requirements before contract execution.,Active,Cybersecurity,6648b6cc-afab-4fec-b22a-11b6c2f2ecbb,Included in solicitations where DFARS 252.204-7012 is expected to apply.,"Before contract award, conduct a self-assessment against NIST SP 800-171. Document any gaps. If fully compliant, simply ensure you can say ""We will/have implement(ed) all 110 controls."" If not, prepare a written explanation for each unmet control with rationale or alternative safeguard (this is often called a ""providing a SSP & POA&M"" for the offer). Submit those to the Contracting Officer to be adjudicated by the DoD CIO. Await approval of any variances before contract award – if DoD rejects the variance, bring that control into compliance. Essentially, do not bid (or disclose gaps) if you cannot meet 800-171 requirements.",Proposal review by contracting officer.,MEDIUM,https://www.acquisition.gov/dfars/252.204-7008-compliance-safeguarding-covered-defense-information-controls.,,"{""penalties"":""An offeror who cannot meet or does not commit to the 800-171 requirements may be found non-responsive or unawardable. Post-award, if a contractor was dishonest in representing compliance, it could lead to contract termination or False Claims Act exposure. Once the contract is in place, DFARS 7012 enforcement applies – failure to actually implement the controls can result in breach of contract. In short, non-compliance means no contract, or loss of one."",""reciprocity"":""Linked via DFARS safeguarding structure."",""last_updated"":""2025-05-18""}",2025-05-27 04:28:45.824444+00,2025-05-27 04:28:45.824444+00,,
808a7d54-e548-4d11-9986-2ec5e1884411,Basic and Enhanced Safeguarding of Contractor Information Systems,"FAR 4.21 implements policies from OMB and NIST for securing contractor information systems that store, process, or transmit FCI. It covers both basic (FAR 52.204-21) and additional safeguarding measures when required.",Provide a policy foundation for clause 52.204-21 and support enhanced controls where risk warrants.,Active,Cybersecurity,d044b843-132b-4886-b189-3c143a6b12e8,Applies to any contractor handling FCI not designated as CUI or classified.,Adhere to baseline controls in FAR 52.204-21 and coordinate with agency-specific requirements for higher-risk systems. Track emerging threats and ensure cyber hygiene policies are maintained.,"System audits, contract data reviews, and vendor attestations.",MEDIUM,https://www.acquisition.gov/far/subpart-4.21,,"{""penalties"":""Non-compliance may result in loss of contract opportunities or cybersecurity breach response liabilities."",""reciprocity"":""Serves as an umbrella policy tying to FISMA, NIST, and DFARS guidance."",""last_updated"":""2025-05-18""}",2025-05-27 04:28:45.824444+00,2025-05-27 04:28:45.824444+00,,
97672bfe-ff79-4379-86de-8a59980e93d4,General Data Protection Regulation (EU),"The GDPR regulates the collection, use, and storage of personal data of individuals in the European Union. It imposes strict requirements on consent, data rights, security measures, and international data transfers.",Protect the fundamental rights of individuals in the EU regarding their personal data.,Active,Privacy,940b3d93-2129-4020-9ea2-9cce0a490e58,Applies to any organization offering goods/services to or monitoring behavior of EU data subjects.,"Implement data minimization, consent management, subject access processes, and breach response plans. Assign a Data Protection Officer (DPO) if required, and conduct Data Protection Impact Assessments (DPIAs) where appropriate.",Supervisory authority audits and internal compliance assessments.,HIGH,https://gdpr-info.eu/,,"{""penalties"":""Fines up to €20M or 4% of global turnover. Noncompliance may also result in bans on data processing."",""reciprocity"":""Some overlap with U.S. privacy laws (CCPA, CPRA) and NIST privacy frameworks."",""last_updated"":""2025-05-18""}",2025-05-27 04:28:45.824444+00,2025-05-27 04:28:45.824444+00,,
a17218cc-176e-4196-96bd-c9c8069240d6,Security Requirements for Cryptographic Modules (Rev. 3),"FIPS 140-3 updates the FIPS 140-2 standard and aligns more closely with ISO/IEC 19790:2012. It outlines security requirements for cryptographic modules, enabling stronger conformance to modern practices and testing methods.",Modernize and enhance federal cryptographic validation standards.,Active,Cryptography,6d3a03eb-9d3f-4e89-9c61-0d394aa99538,Applies to new cryptographic implementations and procurement after May 2022 or as directed by agencies.,Follow updated FIPS 140-3 validation processes and reference the Cryptographic Module Validation Program (CMVP). New procurements should prefer FIPS 140-3 validated modules unless legacy exceptions are approved.,CMVP certification review and acquisition checks.,HIGH,https://csrc.nist.gov/pubs/fips/140-3/final,,"{""penalties"":""Non-compliance may result in rejection of products or system reauthorization delays."",""reciprocity"":""Required by NIST, FedRAMP, and DoD cybersecurity programs for cryptographic compliance."",""last_updated"":""2025-05-18""}",2025-05-27 04:28:45.824444+00,2025-05-27 04:28:45.824444+00,,
b1c32fd0-fa02-40a8-97cf-1a3e5a0d5c07,Managing Information as a Strategic Resource (Privacy Provisions),"OMB Circular A-130 establishes general policy for the planning, collection, use, and dissemination of federal information resources. It requires agencies to implement privacy programs to protect personally identifiable information (PII).",Ensure the privacy and security of PII managed by federal agencies and contractors.,Active,Privacy,d3aa6404-21c4-4b06-8318-5d9a5769141c,Applies to all federal agencies and contractors handling or accessing federal PII.,"Develop and maintain privacy impact assessments (PIAs), system of records notices (SORNs), and privacy training programs. Establish safeguards for electronic records and breach response procedures.",Review of privacy documentation and compliance audits.,HIGH,https://www.whitehouse.gov/wp-content/uploads/legacy_drupal_files/omb/circulars/A130/a130revised.pdf,,"{""penalties"":""Non-compliance may result in privacy breaches, legal liability, and loss of contract eligibility."",""reciprocity"":""Integrated into NIST 800-53 (privacy controls) and FISMA compliance programs."",""last_updated"":""2025-05-18""}",2025-05-27 04:28:45.824444+00,2025-05-27 04:28:45.824444+00,,
b5cd3221-6c4a-4430-b071-62f343568e7c,California Consumer Privacy Act,"The CCPA grants California residents rights over their personal data, including the right to know, delete, and opt-out of the sale of their data. It applies to for-profit entities meeting certain revenue or data-processing thresholds.",Provide transparency and control to California consumers over their personal information.,Active,Privacy,940b3d93-2129-4020-9ea2-9cce0a490e58,Applies to businesses operating in California that meet thresholds related to revenue or data volume.,"Publish privacy notices, enable opt-out mechanisms, and respond to consumer data requests within statutory timelines. Implement reasonable security measures and train employees on data handling practices.",Attorney General enforcement actions and internal policy reviews.,MEDIUM,https://leginfo.legislature.ca.gov/faces/codes_displayText.xhtml?division=3.&part=4.&lawCode=CIV&title=1.81.5,,"{""penalties"":""Civil penalties up to $2,500 per violation or $7,500 for intentional violations."",""reciprocity"":""Predecessor to CPRA. Shares conceptual overlap with GDPR and some NIST controls."",""last_updated"":""2025-05-18""}",2025-05-27 04:28:45.824444+00,2025-05-27 04:28:45.824444+00,,
bf8b1019-434c-47c4-a42e-60a4879b5918,Implementation of Homeland Security Presidential Directive-12 (HSPD-12),"OMB M-05-24 provides implementation guidance for HSPD-12, directing agencies to adopt a government-wide standard for secure identity verification via PIV credentials.",Standardize identity credentials for federal employees and contractors.,Active,Identity & Access,d3aa6404-21c4-4b06-8318-5d9a5769141c,Applies to all agencies and contractors accessing federal facilities or information systems.,Issue PIV credentials per FIPS 201. Ensure physical and logical access systems are compatible with PIV cards. Coordinate with agency security officers for implementation milestones.,Credential audits and access system inspections.,HIGH,https://www.whitehouse.gov/wp-content/uploads/legacy_drupal_files/omb/memoranda/2005/m05-24.pdf,,"{""penalties"":""Lack of PIV support may restrict personnel access and system authorization."",""reciprocity"":""Implements and enforces HSPD-12 standards across federal agencies."",""last_updated"":""2025-05-18""}",2025-05-27 04:28:45.824444+00,2025-05-27 04:28:45.824444+00,,
c39ca054-b86a-48db-9678-4cef1eedd91f,DoD Access to Information Systems for Cyber Assessment,"Allows the DoD to audit the contractor's 800-171 implementation. If included, the contractor agrees to provide DoD (specifically, the DoD CIO or designee) access to its facilities, systems, and personnel as needed to perform a Higher-Level DoD Assessment of compliance. In practice, if DoD is concerned about a contractor's SPRS self-score, they can conduct a thorough review (e.g. request documentation, interviews, or even verify technical controls). DoD will give the contractor an advance notice. The clause is essentially DoD's right-to-audit for cybersecurity.",Enable DoD to independently verify the implementation of required security controls.,Active,Cybersecurity,6648b6cc-afab-4fec-b22a-11b6c2f2ecbb,Mandatory when DFARS 252.204-7019 is invoked.,"Be prepared for a Government audit of your cybersecurity program. Maintain documentation of your NIST 800-171 control implementation (System Security Plan, network diagrams, policies, etc.) and your POA&M for pending items. When notified of a DoD assessment, promptly provide requested evidence or on-site access to company IT staff and systems. Ensure key security personnel (CISO, IT admins) are available to answer questions. The DoD assessment team will assign a confidence level to your SPRS score or issue a new score. Cooperate fully to demonstrate good faith.",On-site or virtual audit by DoD assessors.,HIGH,https://www.acquisition.gov/dfars/252.204-7020-nist-sp-800-171dod-assessment-requirements.,,"{""penalties"":""If you refuse to accommodate an authorized DoD assessment, it will likely be considered a breach of contract, risking termination or other remedy. A poor result in the DoD-conducted assessment (revealing major non-implementation of controls) can lead to corrective action requirements or affect your ability to get future contracts until issues are fixed. In extreme cases, it could trigger contract termination for default if the lack of security is deemed a serious failure."",""reciprocity"":""Aligned with CMMC verification access."",""last_updated"":""2025-05-18""}",2025-05-27 04:28:45.824444+00,2025-05-27 04:28:45.824444+00,,
c7946e9d-e526-4776-81f7-e82a97ae8897,Security Requirements for Cryptographic Modules,"FIPS 140-2 specifies security requirements for cryptographic modules used within federal information systems. It defines four increasing levels of security (Levels 1–4), covering physical security, key management, and module authentication.",Ensure standardized and validated encryption is used to protect sensitive federal data.,Active,Cryptography,6d3a03eb-9d3f-4e89-9c61-0d394aa99538,Applies to any federal system or contractor that uses encryption to protect sensitive but unclassified (SBU) information.,Only use cryptographic modules that have been validated under the FIPS 140-2 program by NIST. Maintain proof of validation. Reference applicable modules in the System Security Plan (SSP).,Validation review of encryption modules used in systems.,HIGH,https://csrc.nist.gov/pubs/fips/140-2/upd2/final,,"{""penalties"":""Use of non-validated encryption can result in audit findings, loss of ATO, or breach of data security requirements."",""reciprocity"":""Mandatory for FedRAMP, NIST 800-53, DFARS 7012, and CMMC cryptographic controls."",""last_updated"":""2025-05-18""}",2025-05-27 04:28:45.824444+00,2025-05-27 04:28:45.824444+00,,
defd3645-79de-4161-bfbe-35c77358b749,Cybersecurity Maturity Model Certification (CMMC),"Requires contractors to achieve a Cybersecurity Maturity Model Certification at a specified level (Level 1 (Foundational), Level 2 (Advanced), or Level 3 (Expert), depending on contract) as a condition of contract award. CMMC is DoD's program of third-party cybersecurity certification: Level 1 roughly equals basic FAR 52.204-21 practices, Level 2 aligns with NIST SP 800-171 (110 controls) for protecting CUI, and Level 3 (to be defined, likely adds NIST SP 800-172 enhanced controls for critical programs). DFARS 7021, when invoked, says the contractor shall maintain the required CMMC certification (by an accredited CMMC auditor) throughout the performance of the contract. It must also ensure subcontractors have the appropriate CMMC level prior to handling info. Status: CMMC 2.0 (with 3 levels) is being rolled out; DFARS 7021 is expected to be updated in 2024/2025 to match the new model and made a contract requirement following rulemaking.",Standardize and verify cybersecurity readiness across the defense industrial base.,Active,Cybersecurity,6648b6cc-afab-4fec-b22a-11b6c2f2ecbb,Required based on contract-specific sensitivity or program designation.,m,"Third-party assessment (C3PAO) or Self-Attestation ",HIGH,https://www.acquisition.gov/dfars/252.204-7021-cybersecurity-maturity-model-certification-requirements.,,"{""penalties"":""An offeror without the required CMMC certificate will not be eligible for award of new DoD contracts that include this clause. If a certification lapses or is revoked during contract performance, the contractor could be found in breach; DoD may suspend work or terminate the contract. False claims about certification status or control implementation can lead to severe legal penalties (False Claims Act). In addition, CMMC will likely become a gatekeeper – companies without it will lose DoD business opportunities entirely."",""reciprocity"":""NIST 800-171"",""last_updated"":""2025-05-18""}",2025-05-27 04:28:45.824444+00,2025-05-27 04:28:45.824444+00,,
e5b9886f-5fb9-45ba-8d34-f8f06604557d,Preparing for and Responding to a Breach of PII,"OMB M-17-12 establishes requirements for federal agencies to prepare for and respond to breaches involving PII. It sets thresholds for reporting, mitigation, and communication with affected individuals.",Minimize the impact of privacy incidents and improve breach response readiness.,Active,Privacy,d3aa6404-21c4-4b06-8318-5d9a5769141c,Applies to agencies and contractors with access to or responsibility for federal PII.,Develop incident response plans specific to PII breaches. Train personnel on breach response protocols. Coordinate breach assessments with agency privacy officers and follow reporting timelines.,Incident response plan reviews and breach response performance audits.,HIGH,https://www.commerce.gov/sites/default/files/opog/omb_m-17-12.pdf,,"{""penalties"":""Improper handling of a breach may lead to legal exposure, audit findings, and reputational damage."",""reciprocity"":""Mapped to NIST 800-53 IR and AR control families and supports privacy compliance."",""last_updated"":""2025-05-18""}",2025-05-27 04:28:45.824444+00,2025-05-27 04:28:45.824444+00,,
